user,mode,hf_label,ibm_label,final_label,hf_scores,ibm_scores,merged_scores,bot_reply,tokens_used,cost_usd
"""Hi, I need to talk to someone. I just found out my friend group went on a trip without inviting me, and they've known me for 10 years. I saw it all over Instagram.",1️⃣ Rule → LLM (Emotion label only),joy,joy,joy,"{'sadness': 0.14410197734832764, 'joy': 0.907336950302124, 'love': 0.12539789080619812, 'anger': 0.842734158039093, 'fear': 0.666637659072876, 'surprise': 0.1591419130563736}","{'sadness': 0.192817, 'joy': 0.392068, 'fear': 0.063433, 'disgust': 0.020257, 'anger': 0.089034}","{'joy': 0.7012293701812744, 'sadness': 0.16358798640899658, 'anger': 0.5412540948234558, 'fear': 0.42535579544372554, 'disgust': 0.0081028, 'surprise': 0.09548514783382415}","I'm really sorry to hear that you're feeling left out. It must be tough to see something like that, especially after all those years with your friends. It's natural to feel hurt when you realize you weren't included. If you want to talk more about it or share how you're feeling, I'm here to listen.",140,4.9e-05
"""Hi, I need to talk to someone. I just found out my friend group went on a trip without inviting me, and they've known me for 10 years. I saw it all over Instagram.",2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,"{'sadness': 0.14410197734832764, 'joy': 0.907336950302124, 'love': 0.12539789080619812, 'anger': 0.842734158039093, 'fear': 0.666637659072876, 'surprise': 0.1591419130563736}","{'sadness': 0.192817, 'joy': 0.392068, 'fear': 0.063433, 'disgust': 0.020257, 'anger': 0.089034}","{'joy': 0.7012293701812744, 'sadness': 0.16358798640899658, 'anger': 0.5412540948234558, 'fear': 0.42535579544372554, 'disgust': 0.0081028, 'surprise': 0.09548514783382415}","I'm really sorry to hear that you're feeling left out. It must be really hurtful to see your friends go on a trip without you, especially after being close for so long. It's completely understandable to feel a mix of emotions—like anger or sadness—when something like this happens. Do you want to talk more about how you're feeling or what specific thoughts are on your mind right now? I'm here to listen.",206,6.8e-05
"""Hi, I need to talk to someone. I just found out my friend group went on a trip without inviting me, and they've known me for 10 years. I saw it all over Instagram.",3️⃣ LLM Only (No rule-based input),joy,joy,joy,"{'sadness': 0.14410197734832764, 'joy': 0.907336950302124, 'love': 0.12539789080619812, 'anger': 0.842734158039093, 'fear': 0.666637659072876, 'surprise': 0.1591419130563736}","{'sadness': 0.192817, 'joy': 0.392068, 'fear': 0.063433, 'disgust': 0.020257, 'anger': 0.089034}","{'joy': 0.7012293701812744, 'sadness': 0.16358798640899658, 'anger': 0.5412540948234558, 'fear': 0.42535579544372554, 'disgust': 0.0081028, 'surprise': 0.09548514783382415}","I'm really sorry to hear that. It must feel really hurtful and disappointing to be left out, especially after so many years of friendship. Do you want to share more about how you’re feeling?",112,3.5e-05
It really hurts. I've been there for all of them through thick and thin.,1️⃣ Rule → LLM (Emotion label only),sadness,sadness,sadness,"{'sadness': 0.9879658818244934, 'joy': 0.8894502520561218, 'love': 0.4838244318962097, 'anger': 0.4237253665924072, 'fear': 0.05339999124407768, 'surprise': 0.041127488017082214}","{'sadness': 0.399859, 'joy': 0.206299, 'fear': 0.243241, 'disgust': 0.031204, 'anger': 0.04963}","{'joy': 0.6161897512336731, 'sadness': 0.7527231290946961, 'anger': 0.27408721995544433, 'fear': 0.12933639474644662, 'disgust': 0.0124816, 'surprise': 0.024676492810249327}","I’m truly sorry to hear that you’re feeling this way. It’s painful to feel overlooked, especially when you’ve been such a supportive friend. Your feelings are completely valid, and it’s understandable to feel hurt after everything you’ve been through together. Have you had a chance to talk to any of them about how you're feeling?",230,6.5e-05
It really hurts. I've been there for all of them through thick and thin.,2️⃣ Array → LLM (Full emotion vector),sadness,sadness,sadness,"{'sadness': 0.9879658818244934, 'joy': 0.8894502520561218, 'love': 0.4838244318962097, 'anger': 0.4237253665924072, 'fear': 0.05339999124407768, 'surprise': 0.041127488017082214}","{'sadness': 0.399859, 'joy': 0.206299, 'fear': 0.243241, 'disgust': 0.031204, 'anger': 0.04963}","{'joy': 0.6161897512336731, 'sadness': 0.7527231290946961, 'anger': 0.27408721995544433, 'fear': 0.12933639474644662, 'disgust': 0.0124816, 'surprise': 0.024676492810249327}","I can really feel the sadness in your words, and it’s completely valid to feel hurt right now. You’ve invested so much in these friendships, and it’s tough to see them go on a trip without you, especially when you’ve always been there for them. It’s natural to question why you weren’t included, and it’s understandable to feel a sense of betrayal. If you want, we can talk about how you might approach this with your friends or just explore more about what you’re feeling. You’re not alone in this.",339,0.0001
It really hurts. I've been there for all of them through thick and thin.,3️⃣ LLM Only (No rule-based input),sadness,sadness,sadness,"{'sadness': 0.9879658818244934, 'joy': 0.8894502520561218, 'love': 0.4838244318962097, 'anger': 0.4237253665924072, 'fear': 0.05339999124407768, 'surprise': 0.041127488017082214}","{'sadness': 0.399859, 'joy': 0.206299, 'fear': 0.243241, 'disgust': 0.031204, 'anger': 0.04963}","{'joy': 0.6161897512336731, 'sadness': 0.7527231290946961, 'anger': 0.27408721995544433, 'fear': 0.12933639474644662, 'disgust': 0.0124816, 'surprise': 0.024676492810249327}","It sounds incredibly painful to feel ignored and undervalued after all the support you've given them. It's understandable to feel hurt, especially when you've invested so much in those friendships. Have you been able to talk to any of them about how you’re feeling?",187,5.1e-05
"When I asked them about it, they just said 'it just happened this way' like it wasn't a big deal",1️⃣ Rule → LLM (Emotion label only),anger,sadness,anger,"{'sadness': 0.18733958899974823, 'joy': 0.4567374587059021, 'love': 0.10110463947057724, 'anger': 0.9862568974494934, 'fear': 0.4977821707725525, 'surprise': 0.22601129114627838}","{'sadness': 0.621597, 'joy': 0.014275, 'fear': 0.152681, 'disgust': 0.064109, 'anger': 0.107373}","{'joy': 0.27975247522354124, 'sadness': 0.3610425533998489, 'anger': 0.6347033384696961, 'fear': 0.3597417024635315, 'disgust': 0.025643600000000003, 'surprise': 0.13560677468776702}","I can see why that would make you feel even more frustrated. It sounds like they weren’t really acknowledging how their actions affected you. It’s hurtful when people dismiss our feelings, especially when you’ve put in so much effort to be there for them. You deserve to have your feelings heard and validated. How are you handling everything?",330,8e-05
"When I asked them about it, they just said 'it just happened this way' like it wasn't a big deal",2️⃣ Array → LLM (Full emotion vector),anger,sadness,anger,"{'sadness': 0.18733958899974823, 'joy': 0.4567374587059021, 'love': 0.10110463947057724, 'anger': 0.9862568974494934, 'fear': 0.4977821707725525, 'surprise': 0.22601129114627838}","{'sadness': 0.621597, 'joy': 0.014275, 'fear': 0.152681, 'disgust': 0.064109, 'anger': 0.107373}","{'joy': 0.27975247522354124, 'sadness': 0.3610425533998489, 'anger': 0.6347033384696961, 'fear': 0.3597417024635315, 'disgust': 0.025643600000000003, 'surprise': 0.13560677468776702}","It’s really frustrating to hear them brush it off like that, especially when it feels like such a big deal to you. It sounds like they didn’t fully understand how much this would hurt you, and that can feel incredibly invalidating. You deserve to have your feelings acknowledged, especially after being such a supportive friend. It’s okay to be angry about their response. Have you thought about how you want to express your feelings to them, or maybe even talk more about what you need from them moving forward?",473,0.000117
"When I asked them about it, they just said 'it just happened this way' like it wasn't a big deal",3️⃣ LLM Only (No rule-based input),anger,sadness,anger,"{'sadness': 0.18733958899974823, 'joy': 0.4567374587059021, 'love': 0.10110463947057724, 'anger': 0.9862568974494934, 'fear': 0.4977821707725525, 'surprise': 0.22601129114627838}","{'sadness': 0.621597, 'joy': 0.014275, 'fear': 0.152681, 'disgust': 0.064109, 'anger': 0.107373}","{'joy': 0.27975247522354124, 'sadness': 0.3610425533998489, 'anger': 0.6347033384696961, 'fear': 0.3597417024635315, 'disgust': 0.025643600000000003, 'surprise': 0.13560677468776702}",I can sense that you're feeling really frustrated and hurt by their response. It must feel dismissive for them to downplay something that means so much to you. It's tough when those we care about don't seem to understand our feelings. How are you coping with this?,272,6.5e-05
I don't understand. Why wouldn't they tell me? We talk almost every day.,1️⃣ Rule → LLM (Emotion label only),fear,sadness,sadness,"{'sadness': 0.7505489587783813, 'joy': 0.386373370885849, 'love': 0.03874904662370682, 'anger': 0.8571335077285767, 'fear': 0.8845474123954773, 'surprise': 0.08386985957622528}","{'sadness': 0.465163, 'joy': 0.142462, 'fear': 0.174049, 'disgust': 0.049867, 'anger': 0.11792}","{'joy': 0.2888088225315094, 'sadness': 0.6363945752670288, 'anger': 0.561448104637146, 'fear': 0.6003480474372863, 'disgust': 0.0199468, 'surprise': 0.05032191574573517}","It’s really confusing and painful when people we talk to regularly don’t communicate important things like this. It makes sense to feel hurt and left out, especially when you thought you were close. Sometimes, people may not realize how their choices can affect others, but that doesn’t make your feelings any less valid. Have you considered reaching out to them again to express how you’re feeling?",430,9.9e-05
