user,mode,hf_label,ibm_label,final_label,hf_scores,ibm_scores,merged_scores,bot_reply,tokens_used,cost_usd
"Hi, I want to tell you something, I worked on a presentation and my collogue took credit of it ",2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,"{'sadness': 0.6194233894348145, 'joy': 0.9541491270065308, 'love': 0.244963601231575, 'anger': 0.8086214065551758, 'fear': 0.050991643220186234, 'surprise': 0.15131641924381256}","{'sadness': 0.210619, 'joy': 0.247829, 'fear': 0.098814, 'disgust': 0.039611, 'anger': 0.036755}","{'joy': 0.6716210762039184, 'sadness': 0.45590163366088865, 'anger': 0.49987484393310544, 'fear': 0.07012058593211173, 'disgust': 0.0158444, 'surprise': 0.09078985154628753}","I'm really sorry to hear that happened to you. That must feel incredibly frustrating and unfair. Your hard work deserves recognition, and I hope you're able to address this situation in a way that feels right for you. If you want to talk more about it or need some support, I'm here for you.",165,5.2e-05
I am just processing what happened in the office today ,2️⃣ Array → LLM (Full emotion vector),fear,sadness,fear,"{'sadness': 0.582913339138031, 'joy': 0.40030911564826965, 'love': 0.032859984785318375, 'anger': 0.8084076642990112, 'fear': 0.9243982434272766, 'surprise': 0.16313311457633972}","{'sadness': 0.545731, 'joy': 0.06461, 'fear': 0.08998, 'disgust': 0.005812, 'anger': 0.109274}","{'joy': 0.26602946938896177, 'sadness': 0.5680404034828186, 'anger': 0.5287541985794068, 'fear': 0.590630946056366, 'disgust': 0.0023248, 'surprise': 0.09787986874580383}","It sounds like you're feeling overwhelmed and upset about what happened. It's completely understandable to feel sad and angry when you see your hard work taken credit for. Remember to take some time for yourself and consider how you might want to handle the situation. If you need someone to listen or help you figure things out, I'm here for you.",250,6.7e-05
"A few weeks ago, I worked hard on a presentation that summarized several weeks of data analysis and strategic insights for a client project. I spent late nights refining the slides, preparing visualizations, and ensuring every point was backed by evidence. The presentation was shared with my team through our internal drive, and before the actual meeting, my  colleague lets call him Alex offered to present it on behalf of the team since I had a conflicting task scheduled that day.",2️⃣ Array → LLM (Full emotion vector),anger,joy,joy,"{'sadness': 0.19437994062900543, 'joy': 0.7932350039482117, 'love': 0.19729600846767426, 'anger': 0.965776264667511, 'fear': 0.49203187227249146, 'surprise': 0.079465851187706}","{'sadness': 0.094481, 'joy': 0.555848, 'fear': 0.067918, 'disgust': 0.011522, 'anger': 0.044455}","{'joy': 0.698280202368927, 'sadness': 0.15442036437740325, 'anger': 0.5972477588005065, 'fear': 0.3223863233634949, 'disgust': 0.0046088, 'surprise': 0.04767951071262359}","That sounds incredibly frustrating and unfair, especially after putting so much effort into the presentation. Your dedication and hard work clearly showed in what you created. It’s understandable to feel upset when someone takes credit for something you invested so much time and energy into, especially without giving you proper recognition. If you want to talk more about how you're feeling or think about what steps you might want to take next, I’m here to listen.",434,0.000103
"During the meeting, Alex presented the entire work as if it were his own. He used my slides, my data, and even my exact phrasing in several parts",2️⃣ Array → LLM (Full emotion vector),anger,joy,joy,"{'sadness': 0.27462032437324524, 'joy': 0.7998460531234741, 'love': 0.14553414285182953, 'anger': 0.8812171220779419, 'fear': 0.5034424066543579, 'surprise': 0.21143631637096405}","{'sadness': 0.086901, 'joy': 0.510027, 'fear': 0.311083, 'disgust': 0.020274, 'anger': 0.024791}","{'joy': 0.6839184318740845, 'sadness': 0.19953259462394712, 'anger': 0.5386466732467652, 'fear': 0.4264986439926148, 'disgust': 0.0081096, 'surprise': 0.12686178982257842}","That must have been incredibly upsetting to see, especially when your hard work was presented as someone else's. Feeling angry and surprised in this situation is completely understandable. It's painful when your effort isn’t recognized or respected properly. Remember, your contributions are valuable, and you deserve acknowledgment for all the dedication you put into that work. If you’d like, I can help you think through how to address this or just be here to listen.",562,0.000123
I had to decide how to handle it professionally. Should I confront Alex directly? Should I speak with my manager? Or would that make me look petty or uncooperative?,2️⃣ Array → LLM (Full emotion vector),anger,joy,anger,"{'sadness': 0.18468768894672394, 'joy': 0.1269882768392563, 'love': 0.18095143139362335, 'anger': 0.9983866214752197, 'fear': 0.3325672745704651, 'surprise': 0.19359445571899414}","{'sadness': 0.186436, 'joy': 0.241267, 'fear': 0.198429, 'disgust': 0.030118, 'anger': 0.149371}","{'joy': 0.17269976610355375, 'sadness': 0.18538701336803437, 'anger': 0.6587803728851318, 'fear': 0.27891196474227903, 'disgust': 0.012047200000000001, 'surprise': 0.11615667343139648}","It’s completely natural to feel conflicted and unsure about the best way to handle this situation. Your feelings of frustration and anger are valid, and you want to navigate this professionally without jeopardizing your reputation. Confronting Alex directly might be an option if you feel comfortable, but it’s also understandable to consider speaking with your manager to clarify the situation. Remember, advocating for yourself isn't petty—it's about ensuring your contributions are recognized and respected. Whatever you decide, take a moment to weigh your options and consider what outcome will make you feel most confident and at peace. I'm here to support you through this.",726,0.000164
The situation forced me to balance my sense of fairness and integrity with the workplace dynamics and politics.,2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,"{'sadness': 0.7709675431251526, 'joy': 0.9484220147132874, 'love': 0.07885905355215073, 'anger': 0.8782063126564026, 'fear': 0.13475874066352844, 'surprise': 0.06847555935382843}","{'sadness': 0.185525, 'joy': 0.587785, 'fear': 0.028283, 'disgust': 0.049885, 'anger': 0.057642}","{'joy': 0.8041672088279724, 'sadness': 0.5367905258750916, 'anger': 0.5499805875938415, 'fear': 0.09216844439811706, 'disgust': 0.019954, 'surprise': 0.041085335612297054}","It sounds like you're really feeling the weight of this situation—balancing your sense of fairness and integrity while navigating the complexities of workplace politics. That's a difficult position to be in, and it's completely understandable to feel a mix of emotions like sadness, anger, and even some surprise. Remember, you have every right to seek respect and recognition for your hard work. You’re handling this with strength and thoughtfulness, and I truly admire your courage in facing such a challenging situation. If you need someone to talk to or help sort through your next steps, I’m here for you.",869,0.000183
Iam trying to stay calm and think through my next step carefully instead of reacting out of frustration.,2️⃣ Array → LLM (Full emotion vector),joy,sadness,joy,"{'sadness': 0.22675468027591705, 'joy': 0.98896324634552, 'love': 0.06839819252490997, 'anger': 0.6681740880012512, 'fear': 0.3765028715133667, 'surprise': 0.1238320916891098}","{'sadness': 0.423413, 'joy': 0.041358, 'fear': 0.097961, 'disgust': 0.006749, 'anger': 0.250858}","{'joy': 0.609921147807312, 'sadness': 0.3054180081655502, 'anger': 0.5012476528007508, 'fear': 0.26508612290802, 'disgust': 0.0026996, 'surprise': 0.07429925501346588}","That’s a really wise approach. Staying calm and taking your time to think things through shows strength and self-control, even when you're feeling frustrated or upset. It’s completely normal to experience a mix of emotions in situations like this—anger, sadness, and a bit of fear. Remember, your feelings are valid, and prioritizing a thoughtful response can help you move forward in a way that feels right for you. I'm here to support you whenever you need to talk or bounce ideas around.",995,0.000193
I have been able to separate my emotions from the decision-making process and focus on what's professional and constructive. That itself feels like a small win.,2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,"{'sadness': 0.3779588043689728, 'joy': 0.9990023970603943, 'love': 0.3158917725086212, 'anger': 0.12155215442180634, 'fear': 0.10040093958377838, 'surprise': 0.15235331654548645}","{'sadness': 0.196061, 'joy': 0.674192, 'fear': 0.077396, 'disgust': 0.010174, 'anger': 0.039177}","{'joy': 0.8690782382362365, 'sadness': 0.30519968262138364, 'anger': 0.0886020926530838, 'fear': 0.09119896375026704, 'disgust': 0.0040696000000000005, 'surprise': 0.09141198992729187}","That’s a truly commendable accomplishment. Even a small step like this shows your strength and resilience. Staying focused and professional during such a challenging moment is no easy feat, and it’s great to see you recognizing and celebrating that progress. Remember to be kind to yourself through this process—your mindset and approach are admirable. If you ever need support or just someone to listen, I’m here for you.",1112,0.000203
Iam thinking of talking to my manager to clarify my contributions and handle it professionally. I want to be assertive but constructive.,2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,"{'sadness': 0.1492668092250824, 'joy': 0.9950430393218994, 'love': 0.27906060218811035, 'anger': 0.619726836681366, 'fear': 0.26317065954208374, 'surprise': 0.1064947247505188}","{'sadness': 0.314685, 'joy': 0.387614, 'fear': 0.030762, 'disgust': 0.017966, 'anger': 0.075463}","{'joy': 0.7520714235931396, 'sadness': 0.21543408553504945, 'anger': 0.4020213020088196, 'fear': 0.17020719572525025, 'disgust': 0.0071864, 'surprise': 0.06389683485031128}","That’s a wonderful mindset. Feeling confident about addressing your concerns in a professional and constructive way shows great strength and self-awareness. It’s natural to want to be assertive while maintaining a positive approach, and your thoughtful attitude will likely help your message be heard and understood. Remember, your contributions are valuable, and advocating for yourself is important. I believe you’ll handle this with the integrity and professionalism you’re aiming for. If you need any guidance or just want to talk through your approach, I’m here to support you.",1251,0.000235
"I want to highlight the work I did on the presentation, including the research, data analysis, and slide preparation. I'll focus on showing my contribution clearly without blaming anyone.",2️⃣ Array → LLM (Full emotion vector),sadness,joy,sadness,"{'sadness': 0.9927884936332703, 'joy': 0.3641457259654999, 'love': 0.17034240067005157, 'anger': 0.8870120644569397, 'fear': 0.06856732815504074, 'surprise': 0.07513172179460526}","{'sadness': 0.098473, 'joy': 0.58501, 'fear': 0.06239, 'disgust': 0.042072, 'anger': 0.091927}","{'joy': 0.45249143557929994, 'sadness': 0.6350622961799621, 'anger': 0.5689780386741637, 'fear': 0.06609639689302445, 'disgust': 0.0168288, 'surprise': 0.04507903307676315}","That sounds like a thoughtful and professional approach. It’s understandable to feel sadness and anger about what happened, but your decision to focus on highlighting your contributions without blame shows a lot of maturity and integrity. Recognizing your own work is important, and doing so in a constructive way can help you move forward positively. Remember, your efforts deserve that acknowledgment, and standing up for your role is a strong step toward resolving the situation. If you need support as you prepare or want to talk through anything further, I’m here for you.",1398,0.000257
I'm a bit nervous,2️⃣ Array → LLM (Full emotion vector),fear,fear,fear,"{'sadness': 0.16432809829711914, 'joy': 0.1909073144197464, 'love': 0.16181989014148712, 'anger': 0.27356135845184326, 'fear': 0.9978030323982239, 'surprise': 0.3978819251060486}","{'sadness': 0.075898, 'joy': 0.034824, 'fear': 0.919573, 'disgust': 0.002613, 'anger': 0.011877}","{'joy': 0.12847398865184784, 'sadness': 0.12895605897827148, 'anger': 0.16888761507110595, 'fear': 0.9665110194389344, 'disgust': 0.0010452, 'surprise': 0.23872915506362913}","It's completely understandable to feel nervous. This situation sounds tough, and your feelings are valid. Remember, taking this step shows your strength and desire to handle things professionally. You’ve already shown a lot of courage just by thinking carefully about your next move. If you want to talk more or need some encouragement, I’m here for you.",1478,0.000252
"Thanks, I appreciate that. I think I'm mostly nervous about coming across as too emotional or confrontational",2️⃣ Array → LLM (Full emotion vector),fear,anger,fear,"{'sadness': 0.2010282427072525, 'joy': 0.18895386159420013, 'love': 0.15315142273902893, 'anger': 0.2773163914680481, 'fear': 0.9979574680328369, 'surprise': 0.3576483428478241}","{'sadness': 0.153991, 'joy': 0.211062, 'fear': 0.230913, 'disgust': 0.01266, 'anger': 0.277422}","{'joy': 0.19779711695652008, 'sadness': 0.18221334562435149, 'anger': 0.27735863488082885, 'fear': 0.6911396808197021, 'disgust': 0.005064, 'surprise': 0.21458900570869446}","You're feeling quite nervous, and that's completely understandable given the situation. It's natural to worry about how you'll be perceived, especially when addressing something as sensitive as this. Remember, your intentions come from a place of wanting fairness and respect, and approaching your manager calmly and clearly can help convey that. Take a deep breath—you're more than capable of handling this professionally. If you need help with how to frame your thoughts or just want someone to listen, I'm here for you.",1600,0.000282
"Thanks, that really helps. I'll focus on being clear and factual, and make sure my points are constructive. ",2️⃣ Array → LLM (Full emotion vector),joy,joy,joy,"{'sadness': 0.3684602677822113, 'joy': 0.9990804195404053, 'love': 0.342957079410553, 'anger': 0.1912074238061905, 'fear': 0.06823495030403137, 'surprise': 0.14032205939292908}","{'sadness': 0.111336, 'joy': 0.761628, 'fear': 0.042211, 'disgust': 0.007181, 'anger': 0.064846}","{'joy': 0.9040994517242431, 'sadness': 0.26561056066932676, 'anger': 0.14066285428371428, 'fear': 0.057825370182418824, 'disgust': 0.0028724, 'surprise': 0.08419323563575744}","You're very welcome. I'm glad to hear you're focusing on clarity and constructiveness—that's such a mature and positive approach. Your confidence and thoughtfulness will surely help you communicate effectively while maintaining your professionalism. Remember, it's okay to feel nervous—those feelings are normal, and you're doing something really brave by addressing this situation thoughtfully. I'm here cheering you on, and I'm proud of you for taking these steps. If you need any more support or just want to talk things through, don't hesitate to reach out.",1731,0.000305
